year,word,n,n_cume
2021,finding,1,3
2022,finish,1,1
2022,finite,4,4
2016,first,2,2
2017,first,1,3
2019,first,3,6
2022,first,1,7
2018,firstclass,1,1
2017,fit,1,1
2020,fit,1,2
2018,fitting,1,1
2021,fiveyear,1,1
2021,fixed,1,1
2019,fixing,1,1
2019,flat,1,1
2018,flexibility,1,1
2016,flexible,1,1
2019,flexible,2,3
2020,flexible,2,5
2019,flip,1,1
2019,flipbook,1,1
2019,flipbookbuilding,2,2
2019,flipbooks,3,3
2019,flipping,1,1
2016,florian,1,1
2018,florian,1,2
2016,flow,1,1
2020,flow,1,2
2018,fluent,1,1
2017,focus,1,1
2018,focus,1,2
2022,focusareas,1,1
2017,focused,1,1
2018,focused,1,2
2021,focuses,3,3
2022,focuses,1,4
2023,focuses,2,6
2020,follow,1,1
2021,follows,1,1
2017,followup,1,1
2018,followup,1,2
2018,fonts,1,1
2016,force,2,2
2020,forecast,1,1
2018,forest,1,1
2019,form,1,1
2020,form,1,2
2021,form,1,3
2017,formal,1,1
2021,formalization,1,1
2018,format,1,1
2020,format,1,2
2022,format,1,3
2020,formats,1,1
2021,formats,1,2
2018,formatting,3,3
2018,formula,2,2
2018,formulae,6,6
2018,formulas,1,1
2018,formulate,1,1
2021,formulate,1,2
2019,formulating,1,1
2019,formulation,1,1
2018,fortran,1,1
2020,forum,1,1
2018,forward,1,1
2021,forward,1,2
2017,forwards,1,1
2018,foster,1,1
2022,foster,1,2
2018,fosters,1,1
2018,foundation,1,1
2023,foundation,1,2
2021,four,1,1
2022,four,1,2
2017,fraction,1,1
2019,fragmented,1,1
2020,fragmented,1,2
2016,framework,4,4
2017,framework,3,7
2018,framework,1,8
2019,framework,2,10
2020,framework,1,11
2021,framework,1,12
2017,frameworks,2,2
2018,frameworks,1,3
2019,frameworks,1,4
2018,free,2,2
2020,free,1,3
2019,freely,1,1
2017,french,1,1
2022,frequently,1,1
2020,fromto,1,1
2019,frontend,1,1
2022,frontend,1,2
2019,fu,1,1
2017,full,1,1
2020,full,1,2
2017,fully,1,1
2020,fully,2,3
2018,fultz,1,1
2017,function,1,1
2019,function,1,2
2021,function,1,3
2023,function,1,4
2023,functional,2,2
2021,functionalities,4,4
2022,functionalities,1,5
2017,functionality,1,1
2018,functionality,1,2
2019,functionality,2,4
2020,functionality,1,5
2021,functionality,1,6
2023,functionality,1,7
2018,functions,7,7
2019,functions,5,12
2020,functions,1,13
2017,fund,1,1
2018,fund,1,2
2019,fundamental,1,1
2018,funded,1,1
2021,funded,1,2
2023,funded,1,3
2022,funding,1,1
2022,funds,1,1
2017,future,6,6
2018,future,1,7
2019,future,1,8
2020,future,1,9
2021,future,1,10
2017,futurebatchtools,1,1
2017,futurecallr,1,1
